Individual	Number	PopName
Setophaga_graciae_DMNS_52524_COL	1	Northern 
Setophaga_graciae_KU_33633_RACN	2	Nicaragua
Setophaga_graciae_KU_33634_RACN	3	Nicaragua
Setophaga_graciae_KU_8199_SANA	4	Central
Setophaga_graciae_KU_8218_SANA	5	Central
Setophaga_graciae_UWBM_105736_ARI	6	Northern
Setophaga_graciae_UWBM_106758_NM	7	Northern
Setophaga_graciae_UWBM_106760_NM	8	Northern
Setophaga_graciae_UWBM_108714_NEV	9	Northern
Setophaga_graciae_UWBM_111891_NM	10	Northern
Setophaga_graciae_UWBM_111896_NM	11	Northern
Setophaga_graciae_UWBM_112575_GUE	12	Guerrero
Setophaga_graciae_UWBM_112576_GUE	13	Guerrero
Setophaga_graciae_UWBM_112587_GUE	14	Guerrero
Setophaga_graciae_UWBM_112592_GUE	15	Guerrero
Setophaga_graciae_UWBM_113059_CHI	16	Central
Setophaga_graciae_UWBM_113126_CHI	17	Central
Setophaga_graciae_UWBM_113970_DUR	18	Northern
Setophaga_graciae_UWBM_114011_DUR	19	Northern
Setophaga_graciae_UWBM_114012_DUR	20	Northern
Setophaga_graciae_UWBM_114019_DUR	21	Northern
Setophaga_graciae_UWBM_114038_DUR	22	Northern
Setophaga_graciae_UWBM_114039_DUR	23	Northern
Setophaga_graciae_UWBM_114046_DUR	24	Northern
Setophaga_graciae_UWBM_114047_DUR	25	Northern
Setophaga_graciae_UWBM_114087_CHIH	26	Northern
Setophaga_graciae_UWBM_114088_CHIH	27	Northern
Setophaga_graciae_UWBM_114090_CHIH	28	Northern
Setophaga_graciae_UWBM_114091_CHIH	29	Northern
Setophaga_graciae_UWBM_114126_CHIH	30	Northern
Setophaga_graciae_UWBM_114127_CHIH	31	Northern
Setophaga_graciae_UWBM_114128_CHIH	32	Northern
Setophaga_graciae_UWBM_114282_NEV	33	Northern
Setophaga_graciae_UWBM_114424_NEV	34	Northern
Setophaga_graciae_UWBM_115308_GUE	35	Guerrero
Setophaga_graciae_UWBM_69981_PCA	36	Nicaragua
Setophaga_graciae_UWBM_77653_ARI	37	Northern
Setophaga_graciae_UWBM_77735_ARI	38	Northern
Setophaga_graciae_UWBM_84639_ARI	39	Northern
Setophaga_graciae_UWBM_93801_CPN	40	Central
Setophaga_graciae_UWBM_93805_CPN	41	Central
Setophaga_graciae_UWBM_93806_CPN	42	Central
Setophaga_graciae_UWBM_93807_CPN	43	Central
Setophaga_graciae_UWBM_93808_CPN	44	Central
Setophaga_graciae_UWBM_95850_ARI	45	Northern

