Individual	Number	PopName
Setophaga_graciae_KU_33634_RACN	1	Nicaragua 
Setophaga_graciae_KU_33633_RACN	2	Nicaragua
Setophaga_graciae_KU_8199_SANA	3	ElSalvador
Setophaga_graciae_KU_8218_SANA	4	ElSalvador
Setophaga_graciae_UWBM_93808_CPN	5	Honduras
Setophaga_graciae_UWBM_93807_CPN	6	Honduras
Setophaga_graciae_UWBM_93806_CPN	7	Honduras
Setophaga_graciae_UWBM_93805_CPN	8	Honduras
Setophaga_graciae_UWBM_93801_CPN	9	Honduras
Setophaga_graciae_UWBM_113126_CHI	10	Chiapas
Setophaga_graciae_UWBM_113059_CHI	11	Chiapas
Setophaga_graciae_UWBM_112592_GUE	12	Guerrero
Setophaga_graciae_UWBM_112575_GUE	13	Guerrero
Setophaga_graciae_UWBM_113970_DUR	14	Durango
Setophaga_graciae_UWBM_114039_DUR	15	Durango
Setophaga_graciae_UWBM_114011_DUR	16	Durango
Setophaga_graciae_UWBM_114012_DUR	17	Durango
Setophaga_graciae_UWBM_114090_CHIH	18	Chihuahua
Setophaga_graciae_UWBM_114126_CHIH	19	Chihuahua
Setophaga_graciae_UWBM_114127_CHIH	20	Chihuahua
Setophaga_graciae_UWBM_114087_CHIH	21	Chihuahua
Setophaga_graciae_UWBM_69981_PCA	22	Nicaragua
Setophaga_graciae_UWBM_108714_NEV	23	Nevada
Setophaga_graciae_UWBM_114424_NEV	24	Nevada
Setophaga_graciae_UWBM_114282_NEV	25	Nevada
Setophaga_graciae_UWBM_105736_ARI	26	Arizona
Setophaga_graciae_UWBM_95850_ARI	27	Arizona
Setophaga_graciae_UWBM_84639_ARI	28	Arizona
Setophaga_graciae_UWBM_111896_NM	29	NewMexico
Setophaga_graciae_DMNS_52524_COL	30	Colorado
Setophaga_graciae_UWBM_114088_CHIH	31	Chihuahua
Setophaga_graciae_UWBM_114091_CHIH	32	Chihuahua
Setophaga_graciae_UWBM_114128_CHIH	33	Chihuahua
Setophaga_graciae_UWBM_77653_ARI	34	Arizona
Setophaga_graciae_UWBM_77735_ARI	35	Arizona
Setophaga_graciae_UWBM_106758_NM	36	NewMexico
Setophaga_graciae_UWBM_106760_NM	37	NewMexico
Setophaga_graciae_UWBM_111891_NM	38	NewMexico
Setophaga_graciae_UWBM_112587_GUE	39	Guerrero
Setophaga_graciae_UWBM_112576_GUE	40	Guerrero
Setophaga_graciae_UWBM_115308_GUE	41	Guerrero
Setophaga_graciae_UWBM_114019_DUR	42	Durango
Setophaga_graciae_UWBM_114038_DUR	43	Durango
Setophaga_graciae_UWBM_114046_DUR	44	Durango
Setophaga_graciae_UWBM_114047_DUR	45	Durango
Setophaga_nigrescens_MVZ_13176643_CA	46	outgroup
