VCF	Setophaga_graciae_CM_S10255_BEL_total_sites	Setophaga_graciae_CM_S9116_BEL_total_sites	Setophaga_graciae_DMNS_52524_COL_total_sites	Setophaga_graciae_KU_33633_RACN_total_sites	Setophaga_graciae_KU_33634_RACN_total_sites	Setophaga_graciae_KU_8199_SANA_total_sites	Setophaga_graciae_KU_8218_SANA_total_sites	Setophaga_graciae_UWBM_105736_ARI_total_sites	Setophaga_graciae_UWBM_106758_NM_total_sites	Setophaga_graciae_UWBM_106760_NM_total_sites	Setophaga_graciae_UWBM_108714_NEV_total_sites	Setophaga_graciae_UWBM_111891_NM_total_sites	Setophaga_graciae_UWBM_111896_NM_total_sites	Setophaga_graciae_UWBM_112575_GUE_total_sites	Setophaga_graciae_UWBM_112576_GUE_total_sites	Setophaga_graciae_UWBM_112587_GUE_total_sites	Setophaga_graciae_UWBM_112592_GUE_total_sites	Setophaga_graciae_UWBM_113059_CHI_total_sites	Setophaga_graciae_UWBM_113126_CHI_total_sites	Setophaga_graciae_UWBM_113970_DUR_total_sites	Setophaga_graciae_UWBM_114011_DUR_total_sites	Setophaga_graciae_UWBM_114012_DUR_total_sites	Setophaga_graciae_UWBM_114019_DUR_total_sites	Setophaga_graciae_UWBM_114038_DUR_total_sites	Setophaga_graciae_UWBM_114039_DUR_total_sites	Setophaga_graciae_UWBM_114046_DUR_total_sites	Setophaga_graciae_UWBM_114047_DUR_total_sites	Setophaga_graciae_UWBM_114087_CHIH_total_sites	Setophaga_graciae_UWBM_114088_CHIH_total_sites	Setophaga_graciae_UWBM_114090_CHIH_total_sites	Setophaga_graciae_UWBM_114091_CHIH_total_sites	Setophaga_graciae_UWBM_114126_CHIH_total_sites	Setophaga_graciae_UWBM_114127_CHIH_total_sites	Setophaga_graciae_UWBM_114128_CHIH_total_sites	Setophaga_graciae_UWBM_114282_NEV_total_sites	Setophaga_graciae_UWBM_114424_NEV_total_sites	Setophaga_graciae_UWBM_115308_GUE_total_sites	Setophaga_graciae_UWBM_69981_PCA_total_sites	Setophaga_graciae_UWBM_77653_ARI_total_sites	Setophaga_graciae_UWBM_77735_ARI_total_sites	Setophaga_graciae_UWBM_84639_ARI_total_sites	Setophaga_graciae_UWBM_93801_CPN_total_sites	Setophaga_graciae_UWBM_93805_CPN_total_sites	Setophaga_graciae_UWBM_93806_CPN_total_sites	Setophaga_graciae_UWBM_93807_CPN_total_sites	Setophaga_graciae_UWBM_93808_CPN_total_sites	Setophaga_graciae_UWBM_95850_ARI_total_sites	Setophaga_graciae_CM_S10255_BEL_het_sites	Setophaga_graciae_CM_S9116_BEL_het_sites	Setophaga_graciae_DMNS_52524_COL_het_sites	Setophaga_graciae_KU_33633_RACN_het_sites	Setophaga_graciae_KU_33634_RACN_het_sites	Setophaga_graciae_KU_8199_SANA_het_sites	Setophaga_graciae_KU_8218_SANA_het_sites	Setophaga_graciae_UWBM_105736_ARI_het_sites	Setophaga_graciae_UWBM_106758_NM_het_sites	Setophaga_graciae_UWBM_106760_NM_het_sites	Setophaga_graciae_UWBM_108714_NEV_het_sites	Setophaga_graciae_UWBM_111891_NM_het_sites	Setophaga_graciae_UWBM_111896_NM_het_sites	Setophaga_graciae_UWBM_112575_GUE_het_sites	Setophaga_graciae_UWBM_112576_GUE_het_sites	Setophaga_graciae_UWBM_112587_GUE_het_sites	Setophaga_graciae_UWBM_112592_GUE_het_sites	Setophaga_graciae_UWBM_113059_CHI_het_sites	Setophaga_graciae_UWBM_113126_CHI_het_sites	Setophaga_graciae_UWBM_113970_DUR_het_sites	Setophaga_graciae_UWBM_114011_DUR_het_sites	Setophaga_graciae_UWBM_114012_DUR_het_sites	Setophaga_graciae_UWBM_114019_DUR_het_sites	Setophaga_graciae_UWBM_114038_DUR_het_sites	Setophaga_graciae_UWBM_114039_DUR_het_sites	Setophaga_graciae_UWBM_114046_DUR_het_sites	Setophaga_graciae_UWBM_114047_DUR_het_sites	Setophaga_graciae_UWBM_114087_CHIH_het_sites	Setophaga_graciae_UWBM_114088_CHIH_het_sites	Setophaga_graciae_UWBM_114090_CHIH_het_sites	Setophaga_graciae_UWBM_114091_CHIH_het_sites	Setophaga_graciae_UWBM_114126_CHIH_het_sites	Setophaga_graciae_UWBM_114127_CHIH_het_sites	Setophaga_graciae_UWBM_114128_CHIH_het_sites	Setophaga_graciae_UWBM_114282_NEV_het_sites	Setophaga_graciae_UWBM_114424_NEV_het_sites	Setophaga_graciae_UWBM_115308_GUE_het_sites	Setophaga_graciae_UWBM_69981_PCA_het_sites	Setophaga_graciae_UWBM_77653_ARI_het_sites	Setophaga_graciae_UWBM_77735_ARI_het_sites	Setophaga_graciae_UWBM_84639_ARI_het_sites	Setophaga_graciae_UWBM_93801_CPN_het_sites	Setophaga_graciae_UWBM_93805_CPN_het_sites	Setophaga_graciae_UWBM_93806_CPN_het_sites	Setophaga_graciae_UWBM_93807_CPN_het_sites	Setophaga_graciae_UWBM_93808_CPN_het_sites	Setophaga_graciae_UWBM_95850_ARI_het_sites
CM027507.1__a.g.vcf.dataset4.vcf.simple.vcf	764837	346509	6333043	6539337	6182210	6245769	4633014	6406237	5898204	6644193	6628058	6665508	6141672	5888377	6547836	3708645	5875359	6395611	4692656	5903475	6189201	5759815	6581456	6181574	6341479	6343287	6210600	6013274	5929638	5523011	5957405	6087552	6589825	6150031	6211669	6514836	6231711	6528320	6448813	4847624	6456722	6346025	5750703	5953458	5113047	6268410	6552918	4766	2272	46069	36094	32930	42094	30892	47755	41618	49669	49133	49954	45414	41897	47333	25386	43108	45619	32779	42751	46105	41889	48388	45865	48612	46725	44560	44581	43214	41009	43224	44622	49023	45502	18181	49212	45536	37672	48314	34835	48865	42127	38279	40215	33936	41499	49058
CM027507.1__b.g.vcf.dataset4.vcf.simple.vcf	824770	368465	6536166	6730208	6382765	6423000	4568576	6592492	6093746	6832001	6817513	6851408	6227201	6063877	6712681	3740289	6057497	6582068	4868348	6057534	6401126	5898758	6774398	6386102	6551456	6535217	6465455	6202208	6125275	5614051	6154933	6307853	6774110	6314005	6393960	6673971	6455109	6697378	6649052	5121422	6631060	6514013	5934859	6144135	5209196	6493858	6746796	5268	2490	33590	25365	25440	31137	22383	33484	28755	34762	37281	34219	32343	31641	33976	18559	31312	33212	23748	30752	33570	30647	35061	32031	33800	34832	33409	32601	31209	28596	30467	33409	35791	30715	33019	34249	32449	27803	31359	26362	33879	31261	28148	25389	26115	30211	34295
CM027507.1__c.g.vcf.dataset4.vcf.simple.vcf	1064547	488848	7579278	7773808	7348947	7437309	5576395	7648221	7191560	7911028	7891854	7926006	7369708	7174094	7784975	4469405	7054832	7641945	5647244	7175950	7424759	6977705	7859367	7477664	7582652	7611394	7511166	7281371	7160711	6691172	7163751	7357418	7850005	7336656	7453021	7739905	7556457	7750305	7688122	5966232	7716711	7583808	7000865	7187137	6141515	7545580	7820573	3891	1983	25396	22096	18264	19235	16983	25293	22387	25239	25024	26530	24808	25012	27313	14727	21608	25027	16268	24948	24580	24048	25895	26031	25855	23579	24902	23790	24375	22404	23270	25260	26364	23524	25007	26398	23291	20845	24214	20292	25033	23747	19487	16334	19397	24138	26083
CM027507.1__d.g.vcf.dataset4.vcf.simple.vcf	798739	365077	6606471	6796323	6400045	6506292	4601071	6677380	6071176	6914175	6900867	6939345	6311282	6042205	6809930	3884535	6120022	6633564	4854554	6093322	6406247	5915905	6842556	6397834	6630770	6595691	6463353	6202337	6163119	5693703	6175388	6324414	6871179	6408864	6457466	6771313	6469746	6769642	6714313	5185135	6701602	6610355	5919809	6217785	5218002	6528501	6815211	4132	1982	39594	30151	27174	34229	23758	39458	35091	40740	40951	42159	37153	34040	39379	21105	35527	34201	25895	35994	38122	35759	41253	37032	39643	38687	37396	35713	35403	32610	34209	37355	41747	37666	37619	39627	36902	30339	38170	30467	39838	36165	30119	33162	27880	34440	40331
CM027507.1__e.g.vcf.dataset4.vcf.simple.vcf	890059	400400	7005233	7218632	6869957	6870333	4922590	7070806	6558982	7328587	7304848	7346024	6669123	6481123	7209648	4049002	6499497	7041936	5181610	6514219	6820585	6314627	7260915	6834856	7027068	7001823	6910602	6630970	6569400	6012285	6539104	6730853	7269691	6736255	6844762	7164216	6905060	7164900	7107823	5562598	7111674	6984799	6349693	6608573	5556165	6956013	7221444	4258	1659	34230	25468	24761	31633	21910	35447	31957	37027	34807	37988	33707	30929	35964	18716	31570	33875	24784	32377	34863	33551	36533	34918	37120	35909	33907	33483	33243	30495	32572	34104	37693	33401	27253	34989	33974	28937	36156	28065	36403	31417	28421	29562	25418	30279	37414
CM027507.1__f.g.vcf.dataset4.vcf.simple.vcf	622159	289797	5049039	5199248	4961152	4946198	3487096	5082532	4751285	5265224	5250913	5278405	4761422	4676634	5153691	2755749	4643100	5077536	3753347	4702255	4935245	4580968	5224759	4958820	5057181	5039841	4990638	4801924	4731128	4242756	4740697	4871658	5226426	4842098	4929245	5136902	4983943	5161759	5124928	4038185	5125240	5015119	4602477	4729819	4033009	5007172	5201151	2678	1140	23153	17946	17750	21500	15524	23662	20868	23494	24774	25515	22142	21698	24631	11269	21668	24204	16474	22925	22917	21807	23589	23556	23406	23835	20783	22591	21562	19730	22410	23644	22957	22946	22446	24488	21037	18451	25625	17785	25062	21078	19864	19426	18427	21817	23735
CM027507.1b__a.g.vcf.dataset4.vcf.simple.vcf	701157	294432	6347322	6524988	6182981	6214797	4348216	6417552	5778687	6625614	6619186	6654496	6009781	5723437	6525658	3671242	5820509	6340675	4644753	5742523	6150797	5602786	6563288	6116997	6352091	6303678	6227390	5921752	5900346	5380018	5966148	6042519	6581752	6170629	6171459	6482067	6187121	6499979	6457875	5044877	6398570	6305938	5629311	5897713	4916269	6249108	6531336	3756	1370	34554	27117	26947	30392	21633	36154	31084	36079	37277	37672	32814	30844	35283	18848	32241	32406	23352	31560	33784	32173	35777	32896	35573	34632	34731	33749	31822	29609	32734	34064	34797	33304	34790	36038	34213	28968	35598	27154	35141	31741	27601	28313	24231	31198	34799
CM027507.1b__b.g.vcf.dataset4.vcf.simple.vcf	683234	305307	6254059	6421906	6066670	6143574	4223520	6319273	5688670	6529311	6521832	6559054	5889327	5691861	6435213	3605876	5768120	6265807	4569917	5720898	6082188	5556232	6470373	6031933	6261363	6215600	6145402	5863740	5822675	5295184	5888482	5955868	6487752	6060510	6088116	6385237	6111067	6398991	6357236	4932214	6305228	6222163	5575322	5843601	4899075	6176337	6440848	4193	1866	39647	29947	31168	36544	21343	41456	34934	41672	42102	42906	37830	36521	41962	21201	35938	38796	27291	37037	39593	35703	41003	38089	40743	40262	38439	38628	36860	34030	36029	38223	42972	38776	38653	41008	39020	32503	39519	30991	41297	37029	32564	34717	29184	36477	43479
CM027507.1b__c.g.vcf.dataset4.vcf.simple.vcf	828528	368829	6939047	7126538	6743314	6800865	4797547	7002126	6396709	7241821	7229124	7264571	6590106	6349064	7111974	3951342	6402097	6968871	5108536	6423178	6769427	6218064	7182552	6751332	6947117	6917613	6823418	6553706	6491765	5942769	6541238	6639559	7182540	6714856	6778997	7086847	6820129	7098243	7044418	5534351	7022556	6906482	6246433	6505272	5457648	6861471	7148678	3459	1392	32279	26028	24324	28622	20232	33374	28975	35113	33972	34580	32130	29364	33588	16353	28796	31488	21317	30809	33210	29914	33116	32302	33783	32570	31950	30434	30275	27511	1416	31430	33861	30565	31790	34549	30904	27811	32453	26009	30776	29596	25897	24856	24134	29389	33936
CM027507.1b__d.g.vcf.dataset4.vcf.simple.vcf	810415	369556	6854777	7062002	6724893	6711754	4736910	6920051	6385840	7154476	7142063	7177543	6465243	6355871	7022313	3849994	6316484	6888401	5082221	6341251	6679461	6179636	7095521	6693725	6851322	6830352	6767143	6470447	6417462	5793883	6489820	6573574	7096279	6579308	6679022	6982929	6746768	7014709	6964405	5420700	6943820	6807274	6177314	6413549	5437348	6783499	7061170	4096	1522	35595	23971	23434	31919	21814	36273	30870	36851	35555	33689	33751	32557	34830	18017	32599	33459	25248	33195	34920	32936	37319	34329	36029	36646	34398	34218	32675	29567	2209	34824	37598	33497	35056	37371	33156	27488	36072	27075	37028	31775	28390	29870	24960	30206	37377
