Individual	Number	PopName
Setophaga_graciae_DMNS_52524_COL	1	SouthwestUSA
Setophaga_graciae_KU_33633_RACN	2	Nicaragua
Setophaga_graciae_KU_33634_RACN	3	Nicaragua
Setophaga_graciae_KU_8199_SANA	4	ElSalvadorHonduras
Setophaga_graciae_KU_8218_SANA	5	ElSalvadorHonduras
Setophaga_graciae_UWBM_105736_ARI	6	SouthwestUSA
Setophaga_graciae_UWBM_106758_NM	7	SouthwestUSA
Setophaga_graciae_UWBM_106760_NM	8	SouthwestUSA
Setophaga_graciae_UWBM_108714_NEV	9	SouthwestUSA
Setophaga_graciae_UWBM_111891_NM	10	SouthwestUSA
Setophaga_graciae_UWBM_111896_NM	11	SouthwestUSA
Setophaga_graciae_UWBM_112576_GUE	12	Guerrero
Setophaga_graciae_UWBM_112587_GUE	13	Guerrero
Setophaga_graciae_UWBM_112592_GUE	14	Guerrero
Setophaga_graciae_UWBM_113059_CHI	15	Chiapas
Setophaga_graciae_UWBM_113126_CHI	16	Chiapas
Setophaga_graciae_UWBM_113970_DUR	17	Durango
Setophaga_graciae_UWBM_114011_DUR	18	Durango
Setophaga_graciae_UWBM_114012_DUR	19	Durango
Setophaga_graciae_UWBM_114019_DUR	20	Durango
Setophaga_graciae_UWBM_114038_DUR	21	Durango
Setophaga_graciae_UWBM_114046_DUR	22	Durango
Setophaga_graciae_UWBM_114047_DUR	23	Durango
Setophaga_graciae_UWBM_114087_CHIH	24	Chihuahua
Setophaga_graciae_UWBM_114088_CHIH	25	Chihuahua
Setophaga_graciae_UWBM_114090_CHIH	26	Chihuahua
Setophaga_graciae_UWBM_114091_CHIH	27	Chihuahua
Setophaga_graciae_UWBM_114126_CHIH	28	Chihuahua
Setophaga_graciae_UWBM_114127_CHIH	29	Chihuahua
Setophaga_graciae_UWBM_114128_CHIH	30	Chihuahua
Setophaga_graciae_UWBM_114282_NEV	31	SouthwestUSA
Setophaga_graciae_UWBM_114424_NEV	32	SouthwestUSA
Setophaga_graciae_UWBM_115308_GUE	33	Guerrero
Setophaga_graciae_UWBM_69981_PCA	34	Nicaragua
Setophaga_graciae_UWBM_77653_ARI	35	SouthwestUSA
Setophaga_graciae_UWBM_77735_ARI	36	SouthwestUSA
Setophaga_graciae_UWBM_84639_ARI	37	SouthwestUSA
Setophaga_graciae_UWBM_93801_CPN	38	ElSalvadorHonduras
Setophaga_graciae_UWBM_93805_CPN	39	ElSalvadorHonduras
Setophaga_graciae_UWBM_93806_CPN	40	ElSalvadorHonduras
Setophaga_graciae_UWBM_93807_CPN	41	ElSalvadorHonduras
Setophaga_graciae_UWBM_93808_CPN	42	ElSalvadorHonduras
Setophaga_graciae_UWBM_95850_ARI	43	SouthwestUSA
Setophaga_nigrescens_MVZ_13176643_CA	44	outgroup
