"INDV1"	"INDV2"	"RELATEDNESS_PHI"
"1"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_CM_S10255_BEL"	0.5
"55"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_CM_S9116_BEL"	0.5
"109"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_DMNS_52524_COL"	0.5
"163"	"Setophaga_graciae_KU_33633_RACN"	"Setophaga_graciae_KU_33633_RACN"	0.5
"217"	"Setophaga_graciae_KU_33634_RACN"	"Setophaga_graciae_KU_33634_RACN"	0.5
"271"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_KU_8199_SANA"	0.5
"325"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_KU_8218_SANA"	0.5
"379"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.5
"433"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_MSB_12905565_NM"	0.5
"487"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.5
"541"	"Setophaga_graciae_MSB_12905567_NM"	"Setophaga_graciae_MSB_12905567_NM"	0.5
"595"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_MSB_12905568_NM"	0.5
"649"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_105736_ARI"	0.5
"703"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_106758_NM"	0.5
"757"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_106760_NM"	0.5
"811"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_108714_NEV"	0.5
"865"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_111891_NM"	0.5
"919"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_111896_NM"	0.5
"973"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_112575_GUE"	0.5
"1027"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_UWBM_112576_GUE"	0.5
"1081"	"Setophaga_graciae_UWBM_112587_GUE"	"Setophaga_graciae_UWBM_112587_GUE"	0.5
"1135"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_UWBM_112592_GUE"	0.5
"1189"	"Setophaga_graciae_UWBM_113059_CHI"	"Setophaga_graciae_UWBM_113059_CHI"	0.5
"1243"	"Setophaga_graciae_UWBM_113126_CHI"	"Setophaga_graciae_UWBM_113126_CHI"	0.5
"1297"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_113970_DUR"	0.5
"1351"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114011_DUR"	0.5
"1405"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114012_DUR"	0.5
"1459"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114019_DUR"	0.5
"1513"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114038_DUR"	0.5
"1567"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114039_DUR"	0.5
"1621"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114046_DUR"	0.5
"1675"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114047_DUR"	0.5
"1729"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.5
"1783"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114088_CHIH"	0.5
"1837"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.5
"1891"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.5
"1945"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_114091_CHIH"	0.5
"1999"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114126_CHIH"	0.5
"2053"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114127_CHIH"	0.5
"2107"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114128_CHIH"	0.5
"2161"	"Setophaga_graciae_UWBM_114282_NEV"	"Setophaga_graciae_UWBM_114282_NEV"	0.5
"2215"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_114424_NEV"	0.5
"2269"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_115308_GUE"	0.5
