Individual	Number	PopName
Setophaga_graciae_DMNS_52524_COL	1	Setophaga
Setophaga_graciae_KU_33633_RACN	2	Setophaga
Setophaga_graciae_KU_33634_RACN	3	Setophaga
Setophaga_graciae_KU_8199_SANA	4	Setophaga
Setophaga_graciae_KU_8218_SANA	5	Setophaga
Setophaga_graciae_UWBM_105736_ARI	6	Setophaga
Setophaga_graciae_UWBM_106758_NM	7	Setophaga
Setophaga_graciae_UWBM_106760_NM	8	Setophaga
Setophaga_graciae_UWBM_108714_NEV	9	Setophaga
Setophaga_graciae_UWBM_111891_NM	10	Setophaga
Setophaga_graciae_UWBM_111896_NM	11	Setophaga
Setophaga_graciae_UWBM_112575_GUE	12	Setophaga
Setophaga_graciae_UWBM_112576_GUE	13	Setophaga
Setophaga_graciae_UWBM_112587_GUE	14	Setophaga
Setophaga_graciae_UWBM_112592_GUE	15	Setophaga
Setophaga_graciae_UWBM_113059_CHI	16	Setophaga
Setophaga_graciae_UWBM_113126_CHI	17	Setophaga
Setophaga_graciae_UWBM_113970_DUR	18	Setophaga
Setophaga_graciae_UWBM_114011_DUR	19	Setophaga
Setophaga_graciae_UWBM_114012_DUR	20	Setophaga
Setophaga_graciae_UWBM_114019_DUR	21	Setophaga
Setophaga_graciae_UWBM_114038_DUR	22	Setophaga
Setophaga_graciae_UWBM_114039_DUR	23	Setophaga
Setophaga_graciae_UWBM_114046_DUR	24	Setophaga
Setophaga_graciae_UWBM_114047_DUR	25	Setophaga
Setophaga_graciae_UWBM_114087_CHIH	26	Setophaga
Setophaga_graciae_UWBM_114088_CHIH	27	Setophaga
Setophaga_graciae_UWBM_114090_CHIH	28	Setophaga
Setophaga_graciae_UWBM_114091_CHIH	29	Setophaga
Setophaga_graciae_UWBM_114126_CHIH	30	Setophaga
Setophaga_graciae_UWBM_114127_CHIH	31	Setophaga
Setophaga_graciae_UWBM_114128_CHIH	32	Setophaga
Setophaga_graciae_UWBM_114282_NEV	33	Setophaga
Setophaga_graciae_UWBM_114424_NEV	34	Setophaga
Setophaga_graciae_UWBM_115308_GUE	35	Setophaga
Setophaga_graciae_UWBM_69981_PCA	36	Setophaga
Setophaga_graciae_UWBM_77653_ARI	37	Setophaga
Setophaga_graciae_UWBM_77735_ARI	38	Setophaga
Setophaga_graciae_UWBM_84639_ARI	39	Setophaga
Setophaga_graciae_UWBM_93801_CPN	40	Setophaga
Setophaga_graciae_UWBM_93805_CPN	41	Setophaga
Setophaga_graciae_UWBM_93806_CPN	42	Setophaga
Setophaga_graciae_UWBM_93807_CPN	43	Setophaga
Setophaga_graciae_UWBM_93808_CPN	44	Setophaga
Setophaga_graciae_UWBM_95850_ARI	45	Setophaga
