Individual,Catalog,Location,Population,Heterozygosity,Latitude,Theta_rohan_50,avg_lg_ROH_10,pct_ROH_10,depth_coverage
Setophaga_graciae_CM_S10255_BEL,CM_S10255,BEL,Belize,0.004872207,18.163613,NA,NA,NA,5.97
Setophaga_graciae_CM_S9116_BEL,CM_S9116,BEL,Belize,0.004974427,16.971723,NA,NA,NA,4.89
Setophaga_graciae_DMNS_52524_COL,DMNS_52524,COL,Northern,0.005175887,38.762011,0.00407123 ,36826.9,0.821527,17.48
Setophaga_graciae_KU_33633_RACN,KU_33633,NIC,Nicaragua,0.003900554,13.531,0.00329015 ,34977.6,6.83272,19.62
Setophaga_graciae_KU_33634_RACN,KU_33634,NIC,Nicaragua,0.003924726,13.531,0.00336512 ,34441.6,4.74417,15.97
Setophaga_graciae_KU_8199_SANA,KU_8199,ELS,Central,0.004802389,14.36938,0.00390101 ,47512,1.06609,15.87
Setophaga_graciae_KU_8218_SANA,KU_8218,ELS,Central,0.004820734,14.36938,0.0038036 ,40141.5,0.914218,11.38
Setophaga_graciae_UWBM_105736_ARI,UWBM_105736,ARI,Northern,0.00522157,35.4,0.00408158 ,38409.1,0.906458,17.89
Setophaga_graciae_UWBM_106758_NM,UWBM_106758,NM,Northern,0.004957766,33.503,0.00430273 ,25494.1,0.690534,15.48
Setophaga_graciae_UWBM_106760_NM,UWBM_106760,NM,Northern,0.005117954,33.503,0.00405427 ,42099.6,1.75397,26.91
Setophaga_graciae_UWBM_108714_NEV,UWBM_108714,NEV,Northern,0.005185736,37.917,0.00400733 ,43522.7,1.23215,22.59
Setophaga_graciae_UWBM_111891_NM,UWBM_111891,NM,Northern,0.005263836,32.034,0.00403572 ,37534.6,1.45258,29.35
Setophaga_graciae_UWBM_111896_NM,UWBM_111896,NM,Northern,0.0051346,32.034,0.0040438 ,29518.4,1.11684,16.21
Setophaga_graciae_UWBM_112575_GUE,UWBM_112575,GUE,Guerrero,0.005151249,17.546,0.00409425 ,25634.2,0.931704,15.28
Setophaga_graciae_UWBM_112576_GUE,UWBM_112576,GUE,Guerrero,0.005102663,17.546,0.0041231 ,29331.1,0.939535,20.19
Setophaga_graciae_UWBM_112587_GUE,UWBM_112587,GUE,Guerrero,0.004522926,17.546,0.00449635 ,12832.4,0.47481,10.39
Setophaga_graciae_UWBM_112592_GUE,UWBM_112592,GUE,Guerrero,0.005135116,17.546,0.00411307 ,37809.5,0.424608,14.77
Setophaga_graciae_UWBM_113059_CHI,UWBM_113059,CHI,Central,0.004959596,15.877,0.00391407 ,44492.3,1.55427,17.33
Setophaga_graciae_UWBM_113126_CHI,UWBM_113126,CHI,Central,0.004794866,15.877,0.00397238 ,30787.9,0.544352,12.01
Setophaga_graciae_UWBM_113970_DUR,UWBM_113970,DUR,Northern,0.005180702,24.087,0.00410229 ,35390.6,0.484622,14.99
Setophaga_graciae_UWBM_114011_DUR,UWBM_114011,DUR,Northern,0.005090695,24.087,0.0040805 ,29976.6,1.37559,16.63
Setophaga_graciae_UWBM_114012_DUR,UWBM_114012,DUR,Northern,0.005334109,24.087,0.00440586 ,17760,0.237068,14.69
