chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'CM027507.1'	0	35000	683	4.2064511863287716e-10	2.518826868259091e-10	6.019400837842788e-10
b'CM027507.1'	35000	70000	351	2.2625317942292603e-09	1.7546842024717783e-09	2.629184519077298e-09
b'CM027507.1'	70000	105000	281	1.4911071975461447e-09	9.814522848291056e-10	2.0596580483896523e-09
b'CM027507.1'	105000	140000	265	1.0252325486293278e-09	6.975549552368553e-10	1.458277387506067e-09
b'CM027507.1'	140000	175000	330	2.493222090889176e-09	2.013554152187154e-09	2.8719034715863636e-09
b'CM027507.1'	175000	210000	215	1.2849926601583881e-09	8.375346867069176e-10	1.843436623452796e-09
b'CM027507.1'	210000	245000	183	2.159051928072004e-09	1.8359850437163213e-09	2.4852671662275734e-09
b'CM027507.1'	245000	280000	322	2.077804220155128e-09	1.6336353046185699e-09	2.438911603039768e-09
b'CM027507.1'	280000	315000	219	1.3448297145634365e-09	8.690244749109207e-10	1.7832836155273007e-09
b'CM027507.1'	315000	350000	292	2.8539040814359436e-09	2.483216134431488e-09	3.1147678731149436e-09
b'CM027507.1'	350000	385000	467	1.956241226509103e-09	1.564019288247831e-09	2.4447465626916017e-09
b'CM027507.1'	385000	420000	471	2.6185076609089373e-09	2.1345824943033786e-09	2.8700112899429707e-09
b'CM027507.1'	420000	455000	320	2.7850718811502545e-09	2.2619052378099653e-09	3.0247766538478897e-09
b'CM027507.1'	455000	490000	434	3.4975652759485736e-09	3.2974464988435553e-09	3.662042052591459e-09
b'CM027507.1'	490000	525000	377	2.9290454738586518e-09	2.6134422358705805e-09	3.1859905168787476e-09
b'CM027507.1'	525000	560000	489	3.1278151289321256e-09	2.8553048257201663e-09	3.3228340188579166e-09
b'CM027507.1'	560000	595000	345	3.180914205395357e-09	2.79517548665088e-09	3.432118951288931e-09
b'CM027507.1'	595000	630000	477	3.2306072344338892e-09	2.83158978757234e-09	3.4505804296484957e-09
b'CM027507.1'	630000	665000	678	3.426490917649532e-09	3.226372140544514e-09	3.5909676942924175e-09
b'CM027507.1'	665000	700000	795	3.1433571539259573e-09	2.870846850713998e-09	3.3383760438517483e-09
b'CM027507.1'	700000	735000	834	3.102988438597408e-09	2.795399506494932e-09	3.2957976238817116e-09
b'CM027507.1'	735000	770000	917	3.087094051082604e-09	2.779505118980128e-09	3.2799032363669075e-09
