chrom	start	end	nSites	recombRate
b'CM027507.1'	0	35000	683	4.9714795625394e-10
b'CM027507.1'	35000	70000	351	2.460027720250508e-09
b'CM027507.1'	70000	105000	281	1.856226561443429e-09
b'CM027507.1'	105000	140000	265	1.0792232904075034e-09
b'CM027507.1'	140000	175000	330	2.5240298789717424e-09
b'CM027507.1'	175000	210000	215	1.4991375051889237e-09
b'CM027507.1'	210000	245000	183	2.1435036010863373e-09
b'CM027507.1'	245000	280000	322	2.2991677852128356e-09
b'CM027507.1'	280000	315000	219	1.6624847257294752e-09
b'CM027507.1'	315000	350000	292	2.592725967617907e-09
b'CM027507.1'	350000	385000	467	2.2697375333458348e-09
b'CM027507.1'	385000	420000	471	2.6250152629667355e-09
b'CM027507.1'	420000	455000	320	2.7582231353225202e-09
b'CM027507.1'	455000	490000	434	3.1865597455145214e-09
b'CM027507.1'	490000	525000	377	2.7983526150054355e-09
b'CM027507.1'	525000	560000	489	3.0178179456767753e-09
b'CM027507.1'	560000	595000	345	2.831382817587959e-09
b'CM027507.1'	595000	630000	477	2.9632216196588192e-09
b'CM027507.1'	630000	665000	678	3.11548538721548e-09
b'CM027507.1'	665000	700000	795	3.033359970670607e-09
b'CM027507.1'	700000	735000	834	3.077873762405578e-09
b'CM027507.1'	735000	770000	917	3.061979374890774e-09
b'CM027507.1'	770000	805000	790	3.234737516255319e-09
b'CM027507.1'	805000	840000	643	3.185281189830202e-09
b'CM027507.1'	840000	875000	654	3.060781578804382e-09
b'CM027507.1'	875000	910000	529	6.115405568082379e-10
b'CM027507.1'	910000	945000	664	2.717852795755303e-09
b'CM027507.1'	945000	980000	831	3.098445112052776e-09
b'CM027507.1'	980000	1015000	758	3.0983103156521356e-09
b'CM027507.1'	1015000	1050000	825	3.052092177146261e-09
b'CM027507.1'	1050000	1085000	1066	3.2326216857350926e-09
b'CM027507.1'	1085000	1120000	737	3.0588499700316973e-09
b'CM027507.1'	1120000	1155000	547	2.1717510736589475e-09
b'CM027507.1'	1155000	1190000	576	2.5192862280937687e-09
b'CM027507.1'	1190000	1225000	856	3.0258360849081985e-09
b'CM027507.1'	1225000	1260000	1031	3.1942728192076537e-09
b'CM027507.1'	1260000	1295000	1325	3.331967578946683e-09
b'CM027507.1'	1295000	1330000	1304	3.3702783714030642e-09
b'CM027507.1'	1330000	1365000	1163	3.2101863620004436e-09
b'CM027507.1'	1365000	1400000	1028	3.1209703000545186e-09
b'CM027507.1'	1400000	1435000	937	3.1303802712437817e-09
b'CM027507.1'	1435000	1470000	922	3.144816256297623e-09
b'CM027507.1'	1470000	1505000	614	3.1342846371640837e-09
b'CM027507.1'	1505000	1540000	678	3.147308689042446e-09
b'CM027507.1'	1540000	1575000	856	2.9113746672441e-09
b'CM027507.1'	1575000	1610000	940	3.059871584857603e-09
b'CM027507.1'	1610000	1645000	970	3.1019733487183085e-09
b'CM027507.1'	1645000	1680000	1197	3.339491819436462e-09
b'CM027507.1'	1680000	1715000	1341	3.4470587559351767e-09
b'CM027507.1'	1715000	1750000	1217	3.32863905379052e-09
b'CM027507.1'	1750000	1785000	1355	3.3655853282965595e-09
b'CM027507.1'	1785000	1820000	1342	3.319756443958148e-09
b'CM027507.1'	1820000	1855000	1439	3.368198368347218e-09
b'CM027507.1'	1855000	1890000	1541	3.424499868833274e-09
b'CM027507.1'	1890000	1925000	1487	3.4266501079084013e-09
b'CM027507.1'	1925000	1960000	1557	3.4524910508809828e-09
b'CM027507.1'	1960000	1995000	1291	3.338463110063154e-09
b'CM027507.1'	1995000	2030000	1357	3.3951355371358846e-09
b'CM027507.1'	2030000	2065000	1564	3.4205411113828893e-09
b'CM027507.1'	2065000	2100000	1366	3.3528465954662196e-09
b'CM027507.1'	2100000	2135000	1488	3.4229460447097524e-09
b'CM027507.1'	2135000	2170000	1540	3.384500928822558e-09
b'CM027507.1'	2170000	2205000	1753	3.454822910369604e-09
b'CM027507.1'	2205000	2240000	1505	3.4516992993909057e-09
b'CM027507.1'	2240000	2275000	1464	3.4293622351377764e-09
b'CM027507.1'	2275000	2310000	1711	3.4655401701601655e-09
b'CM027507.1'	2310000	2345000	1748	3.4751063396347326e-09
b'CM027507.1'	2345000	2380000	1378	3.4420082658820618e-09
b'CM027507.1'	2380000	2415000	1310	3.2166232448583903e-09
b'CM027507.1'	2415000	2450000	1383	3.3374093332890253e-09
b'CM027507.1'	2450000	2485000	1593	3.4496876404750334e-09
b'CM027507.1'	2485000	2520000	1520	3.3428560538145493e-09
b'CM027507.1'	2520000	2555000	1575	3.4720198567874385e-09
b'CM027507.1'	2555000	2590000	1675	3.370777118085433e-09
b'CM027507.1'	2590000	2625000	1270	3.235819434734143e-09
b'CM027507.1'	2625000	2660000	1344	3.4217342960134697e-09
b'CM027507.1'	2660000	2695000	859	3.145221827924111e-09
b'CM027507.1'	2695000	2730000	891	3.056418786879446e-09
b'CM027507.1'	2730000	2765000	1285	3.3236995934042482e-09
b'CM027507.1'	2765000	2800000	1367	3.3106868928017297e-09
b'CM027507.1'	2800000	2835000	1425	3.4170406616946814e-09
b'CM027507.1'	2835000	2870000	1335	3.4020248156331735e-09
b'CM027507.1'	2870000	2905000	1216	3.3092198586414275e-09
b'CM027507.1'	2905000	2940000	1158	3.2975940238135674e-09
b'CM027507.1'	2940000	2975000	1444	3.423792069487456e-09
b'CM027507.1'	2975000	3010000	1461	3.3234084804758477e-09
b'CM027507.1'	3010000	3045000	1339	3.4132921393323126e-09
b'CM027507.1'	3045000	3080000	1448	3.3750355019211015e-09
b'CM027507.1'	3080000	3115000	1275	3.413703150111809e-09
b'CM027507.1'	3115000	3150000	1188	3.3276938235916436e-09
b'CM027507.1'	3150000	3185000	1330	3.390486716708186e-09
b'CM027507.1'	3185000	3220000	1181	3.4065920487657474e-09
b'CM027507.1'	3220000	3255000	1493	3.287718177344898e-09
b'CM027507.1'	3255000	3290000	1303	3.3965806964416974e-09
b'CM027507.1'	3290000	3325000	1271	3.3526389617122507e-09
b'CM027507.1'	3325000	3360000	1192	3.2818784188932967e-09
b'CM027507.1'	3360000	3395000	1212	3.306747881841614e-09
b'CM027507.1'	3395000	3430000	1217	3.319768977658558e-09
b'CM027507.1'	3430000	3465000	1293	3.261384872782609e-09
b'CM027507.1'	3465000	3500000	1485	3.3868395281312113e-09
b'CM027507.1'	3500000	3535000	1391	3.4395832313375593e-09
b'CM027507.1'	3535000	3570000	1120	3.210734297544801e-09
b'CM027507.1'	3570000	3605000	1115	3.252086877199842e-09
b'CM027507.1'	3605000	3640000	1224	3.1335139328312996e-09
b'CM027507.1'	3640000	3675000	886	3.1449262217823558e-09
b'CM027507.1'	3675000	3710000	1179	3.330990186799584e-09
b'CM027507.1'	3710000	3745000	1167	3.270078767654085e-09
b'CM027507.1'	3745000	3780000	1293	3.358029635313298e-09
b'CM027507.1'	3780000	3815000	1189	3.2634113120055687e-09
b'CM027507.1'	3815000	3850000	1184	3.2468453073366966e-09
b'CM027507.1'	3850000	3885000	1248	3.3377188920406713e-09
b'CM027507.1'	3885000	3920000	866	3.2253843014452727e-09
b'CM027507.1'	3920000	3955000	935	3.22360605313893e-09
b'CM027507.1'	3955000	3990000	890	3.1626837556874143e-09
b'CM027507.1'	3990000	4025000	712	2.264133136504299e-09
b'CM027507.1'	4025000	4060000	1111	3.217194119439348e-09
b'CM027507.1'	4060000	4095000	901	3.1572974570572654e-09
b'CM027507.1'	4095000	4130000	1075	3.27004305843216e-09
b'CM027507.1'	4130000	4165000	850	3.0541810483863594e-09
b'CM027507.1'	4165000	4200000	732	3.0072353640443975e-09
b'CM027507.1'	4200000	4235000	810	2.7908031888723794e-09
b'CM027507.1'	4235000	4270000	622	2.864271365707354e-09
b'CM027507.1'	4270000	4305000	510	7.508544105068888e-10
b'CM027507.1'	4305000	4340000	592	2.627938039132725e-09
b'CM027507.1'	4340000	4375000	707	3.0083592585953503e-09
b'CM027507.1'	4375000	4410000	560	1.7455686895299103e-09
b'CM027507.1'	4410000	4445000	551	1.235418383164594e-09
b'CM027507.1'	4445000	4480000	597	2.7603991512532082e-09
b'CM027507.1'	4480000	4515000	668	2.2963304983430412e-09
b'CM027507.1'	4515000	4550000	869	2.767782564977055e-09
b'CM027507.1'	4550000	4585000	878	3.0658260384922053e-09
b'CM027507.1'	4585000	4620000	815	1.4514001136978057e-09
b'CM027507.1'	4620000	4655000	667	3.005921808592894e-09
b'CM027507.1'	4655000	4690000	656	2.5043949504603965e-09
b'CM027507.1'	4690000	4725000	692	1.761332496726671e-09
b'CM027507.1'	4725000	4760000	918	3.0331967960803584e-09
b'CM027507.1'	4760000	4795000	924	2.584095509824452e-09
b'CM027507.1'	4795000	4830000	675	2.2481938168559476e-09
b'CM027507.1'	4830000	4865000	768	2.089175655884481e-09
b'CM027507.1'	4865000	4900000	616	6.339112019190707e-10
b'CM027507.1'	4900000	4935000	653	1.7091294238979025e-09
b'CM027507.1'	4935000	4970000	730	4.2015981972540163e-10
b'CM027507.1'	4970000	5005000	617	9.107837774103157e-10
b'CM027507.1'	5005000	5040000	632	1.383253083899337e-09
b'CM027507.1'	5040000	5075000	385	1.5121722284490028e-09
b'CM027507.1'	5075000	5110000	447	1.0342950588617916e-09
b'CM027507.1'	5110000	5145000	553	1.61066108555411e-09
b'CM027507.1'	5145000	5180000	886	2.9918878478918403e-09
b'CM027507.1'	5180000	5215000	684	1.879220521664767e-09
b'CM027507.1'	5215000	5250000	778	2.9251988658269647e-09
b'CM027507.1'	5250000	5285000	758	1.993639091218618e-09
